lesson_code|code|title|lesson_order|slides_count|notes
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-1|Warm-up|1|7|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-2|Language Presentation/Review|2|8|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-3|Pronunciation|3|9|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-4|Language Practice|4|1|
EE-BSC-A1-L1|EE-BSC-A1-L1-ACT-5|Discussion|5|1|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-1|Warm-up|1|12|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-2|Language Presentation/Review|2|4|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-3|Listening|3|6|Missing slides
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-4|Language Practice|4|8|Missing slides
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-5|Pronunciation|5|4|
EE-BSC-A1-L2|EE-BSC-A1-L2-ACT-6|Speaking|6|1|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-1|Warm-up|1|1|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-3|Listening|3|3|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-4|Language Practice|4|7|
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-5|Pronunciation|5|4|Slides together with activity 3
EE-BSC-A1-L3|EE-BSC-A1-L3-ACT-6|Discussion|6|1|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-1|Warm-up|1|5|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-2|Language Presentation/Review|2|9|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-3|Pronunciation|3|14|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-4|Language Practice|4|1|
EE-BSC-A1-L4|EE-BSC-A1-L4-ACT-5|Discussion|5|1|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-1|Warm-up|1|1|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-3|Listening|3|6|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-4|Language Practice|4|7|
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-5|Pronunciation|5|1|Missing Slides
EE-BSC-A1-L5|EE-BSC-A1-L5-ACT-6|Discussion|6|1|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-1|Warm-up|1|1|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-2|Language Presentation/Review|2|18|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-3|Listening|3|5|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-4|Language Practice|4|6|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-5|Pronunciation|5|6|
EE-BSC-A1-L6|EE-BSC-A1-L6-ACT-6|Discussion|6|1|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-1|Warm-up|1|1|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-3|Pronunciation|3|1|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-4|Listening|4|2|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-5|Language Practice|5|7|
EE-BSC-A1-L7|EE-BSC-A1-L7-ACT-6|Discussion|6|1|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-1|Warm-up|1|1|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-2|Language Presentation/Review|2|4|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-3|Pronunciation|3|1|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-4|Language Practice|4|6|
EE-BSC-A1-L8|EE-BSC-A1-L8-ACT-5|Discussion|5|1|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-1|Warm-up|1|1|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-2|Language Presentation/Review|2|11|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-3|Listening|3|7|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-4|Language Practice|4|10|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-5|Pronunciation|5|6|
EE-BSC-A1-L9|EE-BSC-A1-L9-ACT-6|Discussion|6|1|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-1|Warm-up|1|1|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-2|Language Presentation/Review|2|1|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-3|Listening|3|3|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-4|Language Practice|4|6|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-5|Pronunciation|5|7|
EE-BSC-A1-L10|EE-BSC-A1-L10-ACT-6|Discussion|6|1|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-1|Warm-up|1|1|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-2|Language Presentation/Review|2|6|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-3|Listening|3|9|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-4|Language Practice|4|5|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-5|Pronunciation|5|1|
EE-BSC-A1-L11|EE-BSC-A1-L11-ACT-6|Discussion|6|1|
